Bolge,Strat,Ratio,N_train,N_feat,AUC,F1,Rec,Prec,Brier,Score
CON,S4_HighFWI,1:2,16371,34,0.6149481813544313,0.2017001545595054,0.6041666666666666,0.12105751391465677,0.40828840505780695,0.4496489706364609
CON,S4_HighFWI,1:3,21828,34,0.6105002237814738,0.16424294268605646,0.2222222222222222,0.13025780189959293,0.396158930823784,0.4319973113433069
CON,S4_HighFWI,1:4,26931,34,0.6087553900053899,0.17258883248730963,0.27546296296296297,0.12565997888067582,0.37651345071438097,0.4342887669981578
CON,S4_HighFWI,1:6,27782,34,0.5943154693154693,0.22995720399429387,0.9328703703703703,0.13114220631304913,0.1061455440829864,0.4485721631869991
CON,S5_HumanContrast,1:1,10914,34,0.6602711485523985,0.19373219373219372,0.3148148148148148,0.13991769547325103,0.26943939873614975,0.47365556662431657
CON,S5_HumanContrast,1:2,16371,34,0.6644980316855317,0.22532402791625125,0.5231481481481481,0.14358322744599747,0.20868335759638446,0.4888284301778195
CON,S5_HumanContrast,1:3,21828,34,0.6664831899206899,0.17996289424860853,0.22453703703703703,0.15015479876160992,0.17368497718765766,0.4718750716518573
CON,S5_HumanContrast,1:4,27285,34,0.6650478603603603,0.2058165548098434,0.3194444444444444,0.15181518151815182,0.16036975507413598,0.4813553381401536
CON,S5_HumanContrast,1:6,37845,34,0.6706276589089089,0.20477290223248654,0.30787037037037035,0.15340253748558247,0.14485442913002253,0.4842857562383399
CON,S6_Full,1:1,10914,34,0.6959666998729499,0.23103448275862068,0.3101851851851852,0.18406593406593408,0.22639710911674013,0.5099938130272181
CON,S6_Full,1:2,16371,34,0.6990175271425272,0.2568593111500292,0.5092592592592593,0.1717408274785324,0.1375704063047248,0.522154240745528
CON,S6_Full,1:3,21828,34,0.6895399004774004,0.21591804570527975,0.31712962962962965,0.16367980884109917,0.10951539395542048,0.5000911585685521
CON,S6_Full,1:4,27285,34,0.6922430242742742,0.22720478325859492,0.35185185185185186,0.16777041942604856,0.09582440555692232,0.5062277278680025
CON,S6_Full,1:6,38199,34,0.6917503440940942,0.22795341098169716,0.31712962962962965,0.17792207792207793,0.08919874932103637,0.5062315708491354
BLK,S1_Tip1,1:1,1240,34,0.7389730731992473,0.2774490466798159,0.7429577464788732,0.17057396928051738,0.4252858475773127,0.5543634625914747
BLK,S1_Tip1,1:2,1853,34,0.7376806232988071,0.28008157715839566,0.7253521126760564,0.17354675652906487,0.28568589767115166,0.5546410048426426
BLK,S1_Tip1,1:3,1853,34,0.7376806232988071,0.28008157715839566,0.7253521126760564,0.17354675652906487,0.28568589767115166,0.5546410048426426
BLK,S1_Tip1,1:4,1853,34,0.7376806232988071,0.28008157715839566,0.7253521126760564,0.17354675652906487,0.28568589767115166,0.5546410048426426
BLK,S1_Tip1,1:6,1853,34,0.7376806232988071,0.28008157715839566,0.7253521126760564,0.17354675652906487,0.28568589767115166,0.5546410048426426
BLK,S2_Mixed,1:1,1240,34,0.7327437386967721,0.29576547231270356,0.7992957746478874,0.18145483613109512,0.3122827753362697,0.5579524321431447
BLK,S2_Mixed,1:2,1860,34,0.7214587786120092,0.2904808635917566,0.5211267605633803,0.20136054421768707,0.18775243360736185,0.5490676126039082
BLK,S2_Mixed,1:3,2480,34,0.7426022846982456,0.31875,0.5387323943661971,0.22633136094674555,0.1320209158554792,0.5730613708189474
BLK,S2_Mixed,1:4,3050,34,0.7193671105752544,0.29923664122137406,0.6901408450704225,0.19103313840155944,0.1585499899545195,0.5513149228337022
BLK,S2_Mixed,1:6,3050,34,0.7464803955596963,0.332378223495702,0.4084507042253521,0.28019323671497587,0.11956829741963257,0.5808395267340986
BLK,S3_Stratified,1:1,1240,34,0.6911874402489299,0.2646239554317549,0.3345070422535211,0.21889400921658986,0.2746793794484897,0.5205620463220599
BLK,S3_Stratified,1:2,1860,34,0.6570806159916699,0.237829209896249,0.5246478873239436,0.15376676986584106,0.1745239800716222,0.48938005355350156
BLK,S3_Stratified,1:3,2480,34,0.6959720928250002,0.26199261992619927,0.5,0.1775,0.1358944140789007,0.5223803036654798
BLK,S3_Stratified,1:4,3100,34,0.7240002922854899,0.2978723404255319,0.6408450704225352,0.19402985074626866,0.1137576238786809,0.5535491115415068
BLK,S3_Stratified,1:6,3980,34,0.7231576880217753,0.2739420935412027,0.43309859154929575,0.2003257328990228,0.10068325063020599,0.5434714502295462
BLK,S4_HighFWI,1:1,1240,34,0.5890252887841533,0.11717171717171718,0.10211267605633803,0.13744075829383887,0.25298705996115506,0.4002838601391788
BLK,S4_HighFWI,1:2,1860,34,0.5620901152700901,0.10655737704918032,0.09154929577464789,0.12745098039215685,0.16951219188596933,0.3798770199817262
BLK,S4_HighFWI,1:3,2480,34,0.6138360643758791,0.16237113402061856,0.22183098591549297,0.12804878048780488,0.13070282060995686,0.43325009223377486
BLK,S4_HighFWI,1:4,2699,34,0.6106711605560731,0.043343653250773995,0.02464788732394366,0.1794871794871795,0.15928772002195937,0.3837401576339534
BLK,S4_HighFWI,1:6,2699,34,0.6106711605560731,0.043343653250773995,0.02464788732394366,0.1794871794871795,0.15928772002195937,0.3837401576339534
BLK,S5_HumanContrast,1:1,1240,34,0.6289633607959908,0.22641509433962265,0.3591549295774648,0.16531604538087522,0.22621931202271295,0.46794405421344354
BLK,S5_HumanContrast,1:2,1860,34,0.6135529128075848,0.20057859209257473,0.36619718309859156,0.13811420982735723,0.15827211687756704,0.44836318452158075
BLK,S5_HumanContrast,1:3,2480,34,0.5913376932585569,0.1162227602905569,0.08450704225352113,0.18604651162790697,0.13285979930720448,0.4012917200713569
BLK,S5_HumanContrast,1:4,3100,34,0.6335135760520756,0.06818181818181818,0.04225352112676056,0.17647058823529413,0.14191294213863445,0.4073808729039726
BLK,S5_HumanContrast,1:6,3939,34,0.6437390012361239,0.22443890274314215,0.31690140845070425,0.17374517374517376,0.11624550081013942,0.4760189618389312
BLK,S6_Full,1:1,1240,34,0.5630575497950957,0.16336633663366337,0.2323943661971831,0.12595419847328243,0.285381332691647,0.40318106453052277
