number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
48,0.8174609484436165,2026-04-12 23:15:00.860856,2026-04-12 23:15:01.249952,0 days 00:00:00.389096,0.789572725210672,0.952933956330036,0.13670574480857192,6,23,333,1.4136654776806776,0.6787519908996493,0.6516580535719092,COMPLETE
49,0.8178496341558831,2026-04-12 23:15:01.249952,2026-04-12 23:15:01.736538,0 days 00:00:00.486586,0.7222870491142183,0.9158461709103917,0.07591745834518812,4,18,512,1.7606463205276932,3.739988821650897,0.7209277827679449,COMPLETE
50,0.8135122549576357,2026-04-12 23:15:01.736538,2026-04-12 23:15:02.114110,0 days 00:00:00.377572,0.6385083087132785,0.7745085655662421,0.18841716253062638,5,26,291,1.6354357970560953,2.411239615932355,0.6782438036418933,COMPLETE
51,0.8189122100316247,2026-04-12 23:15:02.114110,2026-04-12 23:15:02.921101,0 days 00:00:00.806991,0.5826235631745794,0.6563682769762147,0.044685595036932806,4,28,625,1.2890876507292883,2.147604495003175,0.7570711608291562,COMPLETE
52,0.8188882326662578,2026-04-12 23:15:02.921101,2026-04-12 23:15:04.255134,0 days 00:00:01.334033,0.5410933598771477,0.7068761062714068,0.02406442222539245,4,29,455,1.1826770438787013,1.7788130791658792,0.8154571896905383,COMPLETE
53,0.8218784625208541,2026-04-12 23:15:04.255134,2026-04-12 23:15:05.426791,0 days 00:00:01.171657,0.4823057552105847,0.8313979728360873,0.0569487728893704,3,1,585,1.4654100977226245,2.1329466575242715,0.7323982765111284,COMPLETE
54,0.8137720097491126,2026-04-12 23:15:05.426791,2026-04-12 23:15:06.043667,0 days 00:00:00.616876,0.49409754894290536,0.8411099001704567,0.11702141934796567,3,4,574,1.5649739973203631,2.9447049602878885,0.7295676954024632,COMPLETE
55,0.8202044638282514,2026-04-12 23:15:06.043667,2026-04-12 23:15:06.741045,0 days 00:00:00.697378,0.6727883886392532,0.9823856366599631,0.05486764005826305,3,1,399,1.4593381459464434,2.2530205045199305,0.6904129603618214,COMPLETE
56,0.8175318289008858,2026-04-12 23:15:06.741045,2026-04-12 23:15:07.338879,0 days 00:00:00.597834,0.4609041205313515,0.881242368010363,0.08925697490790492,3,14,455,1.8209414309769918,2.57740484588995,0.7916791328197021,COMPLETE
57,0.8146858838940251,2026-04-12 23:15:07.338879,2026-04-12 23:15:07.781238,0 days 00:00:00.442359,0.4084705081872306,0.7576116823421192,0.11036472551355604,4,25,235,1.3401065722370458,1.0097590059463815,0.7177422029507635,COMPLETE
